@RELATION campuslens_complaints

@ATTRIBUTE complaint STRING
@ATTRIBUTE zone STRING
@ATTRIBUTE facility STRING
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'monitor and keyboard are not detected at workstation in cl15 this happens repeatedly','Labs & Research','CL22',13,52,60,2,Lab_Equipment
'power socket near the desk is unsafe in g2','Hostels','H5 Boys Hostel',17,78,62,3,Electrical
'student common area is overcrowded after 11 00 this happens repeatedly','General & Utilities','Parking',11,26,50,1,Other
'water point near girls hostel is not operational this happens repeatedly','General & Utilities','Girls Hostel',18,80,54,3,Water
'classroom door and several chairs need repair on floor 3','Labs & Research','A2/2',14,42,63,4,Infrastructure
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',13,63,45,4,Canteen
'low water pressure reported around swimming pool','Sports & Recreation','Swimming Pool',13,54,35,4,Water
'network authentication fails for students around aryabhatt bhawan ii near a water cooler','Academic & Teaching','Aryabhatt Bhawan II',10,82,66,2,Network
'classroom door and several chairs need repair on floor 3','Labs & Research','A2/1',17,76,57,2,Infrastructure
'canteen queue is very long at 13 00 with one counter open','Food','Annapurna / Main Mess',13,80,51,4,Canteen
'network authentication fails for students around lrc','Academic & Teaching','LRC',11,42,56,3,Network
'projector hdmi port is loose in ff6','Labs & Research','CL3',8,31,44,2,Cleanliness
'internet disconnects repeatedly during the lecture in cl15','Academic & Teaching','LRC',10,81,55,2,Network
'canteen queue is very long at 14 00 with one counter open','Food','Cafeteria / Canteen',14,58,70,1,Canteen
'broken writing desk is blocking the aisle in g2 beside the canteen queue','Academic & Teaching','Aryabhatt Bhawan II',10,28,70,2,Infrastructure
'canteen queue is very long at 13 00 with one counter open','Food','Cafeteria / Canteen',13,66,62,1,Canteen
'food counter is overcrowded between 13 00 and 15 00','Food','Cafeteria / Canteen',13,89,66,4,Canteen
'broken writing desk is blocking the aisle in cr425','Academic & Teaching','Aryabhatt Bhawan II',8,74,51,4,Infrastructure
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',14,78,42,3,Network
'classroom door and several chairs need repair on ground floor while the wifi is also unstable','Academic & Teaching','A2/1',12,32,61,1,Infrastructure
'very weak wifi signal on floor 3 of cl15 please fix urgently','Academic & Teaching','CL15',9,91,57,2,Network
'water point near swimming pool is not operational','Sports & Recreation','Swimming Pool',16,62,36,2,Water
'monitor and keyboard are not detected at workstation in ts17','Labs & Research','CL15',16,52,68,1,Lab_Equipment
'lights flicker repeatedly inside cl15 please fix urgently after a power interruption','Academic & Teaching','H5 Boys Hostel',13,78,84,2,Electrical
'garbage is overflowing in the corridor on floor 2','Hostels','Aryabhatt Bhawan III',15,76,51,2,Cleanliness
'projector hdmi port is loose in ff6','Labs & Research','Aryabhatt Bhawan II',10,46,54,1,Infrastructure
'spill outside cl3 creates a safety hazard this happens repeatedly','Academic & Teaching','Aryabhatt Bhawan III',13,35,42,1,Cleanliness
'waiting time at annapurna / main mess is more than twenty minutes','Food','Annapurna / Main Mess',13,100,56,2,Canteen
'monitor and keyboard are not detected at workstation in cs1','Labs & Research','ECE Labs',13,19,58,1,Lab_Equipment
'air conditioner stops cooling after noon on floor 1 near a water cooler','Labs & Research','CL22',11,80,70,1,Electrical
'projector hdmi port is loose in cl15 please fix urgently','Academic & Teaching','A2/2',16,27,21,4,Infrastructure
'unclassified campus issue reported around auditorium near a water cooler','Administration','Auditorium',8,56,51,2,Other
'waiting time at cafeteria / canteen is more than twenty minutes students cannot continue class','Food','Cafeteria / Canteen',13,70,57,1,Canteen
'parking congestion blocks the entrance near auditorium please fix urgently','Administration','Auditorium',13,83,49,3,Other
'wifi becomes extremely slow near cs1 between 14 00 and 16 00','Library & Study','CL15',14,74,41,2,Lab_Equipment
'power socket near the desk is unsafe in ts17','Academic & Teaching','CL22',16,33,79,2,Electrical
'lights flicker repeatedly inside cl3','Academic & Teaching','A2/1',15,63,62,2,Electrical
'network authentication fails for students around cl15','Academic & Teaching','CL15',11,53,43,5,Network
'wifi becomes extremely slow near cr425 between 9 00 and 11 00','Academic & Teaching','LRC',9,93,68,4,Network
'wifi becomes extremely slow near ff6 between 14 00 and 16 00','Library & Study','CL15',14,100,82,2,Network
'canteen queue is very long at 12 00 with one counter open','Food','Annapurna / Main Mess',12,83,51,3,Canteen
'garbage is overflowing in the corridor on floor 2','General & Utilities','H4 Boys Hostel',16,39,36,4,Cleanliness
'projector in cr425 switches off after ten minutes after a power interruption','Academic & Teaching','A2/2',17,52,59,1,Infrastructure
'projector in ff6 switches off after ten minutes','Labs & Research','Aryabhatt Bhawan II',15,26,45,2,Infrastructure
'unclassified campus issue reported around administration block','Administration','Administration Block',12,73,53,5,Other
'projector hdmi port is loose in cl3','Labs & Research','A2/1',18,45,53,3,Infrastructure
'broken writing desk is blocking the aisle in cl3','Labs & Research','A2/2',15,58,66,1,Infrastructure
'projector hdmi port is loose in cl22','Labs & Research','Aryabhatt Bhawan II',17,63,45,5,Infrastructure
'network authentication fails for students around lrc','Labs & Research','LRC',14,59,72,1,Network
'wifi becomes extremely slow near ts17 between 10 00 and 12 00','Library & Study','Aryabhatt Bhawan II',10,73,57,2,Network
'classroom door and several chairs need repair on floor 3 while the wifi is also unstable','Labs & Research','A2/1',18,45,60,2,Infrastructure
'classroom door and several chairs need repair on floor 3','Academic & Teaching','A2/1',9,44,64,2,Infrastructure
'projector in cr425 switches off after ten minutes near a water cooler','Labs & Research','CL3',13,30,63,1,Infrastructure
'computer fails to boot during practical class in cl15','Labs & Research','CL1',17,51,51,4,Lab_Equipment
'broken writing desk is blocking the aisle in ff6','Labs & Research','CL3',8,31,51,5,Infrastructure
'monitor and keyboard are not detected at workstation in ts17','Labs & Research','CL15',16,45,93,1,Lab_Equipment
'food counter is overcrowded between 14 00 and 16 00 beside the canteen queue','Food','Annapurna / Main Mess',14,95,62,1,Canteen
'network authentication fails for students around cl15','Academic & Teaching','CL15',14,80,80,5,Network
'air conditioner stops cooling after noon on ground floor this happens repeatedly','Labs & Research','CL22',18,79,65,1,Electrical
'internet disconnects repeatedly during the lecture in ff6 near a water cooler','Library & Study','LRC',11,66,37,4,Network
'projector hdmi port is loose in ff6','Academic & Teaching','Aryabhatt Bhawan II',13,74,23,2,Infrastructure
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',14,96,60,3,Canteen
'classroom door and several chairs need repair on ground floor','Labs & Research','A2/2',16,51,54,2,Infrastructure
'billing queue reaches the stairwell near cafeteria / canteen please fix urgently','Food','Cafeteria / Canteen',14,86,63,2,Canteen
'water point near water cooler is not operational','Hostels','Water cooler',16,53,49,2,Lab_Equipment
'water is leaking into the corridor on floor 1','General & Utilities','Girls Hostel',12,15,58,4,Water
'food counter is overcrowded between 13 00 and 15 00','Food','Cafeteria / Canteen',13,100,54,2,Canteen
'canteen queue is very long at 13 00 with one counter open this happens repeatedly','Food','Cafeteria / Canteen',13,71,88,1,Canteen
'projector in cl15 switches off after ten minutes','Labs & Research','CL3',12,58,43,4,Infrastructure
'canteen queue is very long at 13 00 with one counter open','Food','Annapurna / Main Mess',13,89,43,3,Canteen
'spill outside cl3 creates a safety hazard','Hostels','Washrooms',16,63,54,1,Infrastructure
'internet disconnects repeatedly during the lecture in cs1','Library & Study','CL15',10,57,87,2,Cleanliness
'wifi becomes extremely slow near cr425 between 14 00 and 16 00','Library & Study','CL15',14,96,32,4,Network
'broken writing desk is blocking the aisle in cl15','Labs & Research','Aryabhatt Bhawan II',11,55,41,1,Infrastructure
'internet disconnects repeatedly during the lecture in cl3 beside the canteen queue','Library & Study','CL15',12,80,70,5,Network
'computer fails to boot during practical class in cl15','Labs & Research','CL15',16,60,38,1,Lab_Equipment
'internet disconnects repeatedly during the lecture in ff6','Library & Study','CL15',10,69,75,1,Network
'wifi becomes extremely slow near cl3 between 10 00 and 12 00','Labs & Research','Aryabhatt Bhawan II',10,100,31,2,Network
'computer fails to boot during practical class in ff6','Labs & Research','CL15',13,78,59,2,Lab_Equipment
'broken writing desk is blocking the aisle in ff6 and the room is overcrowded','Labs & Research','A2/2',17,31,58,2,Infrastructure
'lights flicker repeatedly inside cr425','Hostels','A2/1',17,58,63,3,Electrical
'laboratory equipment reports a calibration error in cl22 after a power interruption','Labs & Research','ECE Labs',11,79,50,2,Lab_Equipment
'student common area is overcrowded after 13 00','Administration','Auditorium',13,80,50,3,Other
'waiting time at cafeteria / canteen is more than twenty minutes students cannot continue class','Food','Cafeteria / Canteen',13,66,20,4,Canteen
'power socket near the desk is unsafe in cs1','Academic & Teaching','A2/1',8,90,70,1,Electrical
'food counter is overcrowded between 13 00 and 15 00','Food','Cafeteria / Canteen',13,45,44,2,Canteen
'wifi becomes extremely slow near cs1 between 10 00 and 12 00 after a power interruption','Library & Study','CL3',10,76,57,3,Network
'network authentication fails for students around lrc while the wifi is also unstable','Academic & Teaching','LRC',9,71,71,5,Network
'floor near aryabhatt bhawan iii is dirty and slippery','General & Utilities','Aryabhatt Bhawan III',15,63,63,3,Cleanliness
'network authentication fails for students around cl15','Academic & Teaching','CL15',9,94,54,4,Network
'two ceiling fans are not working in cl3','Academic & Teaching','H5 Boys Hostel',17,61,64,4,Electrical
'floor near washrooms is dirty and slippery','Academic & Teaching','Washrooms',18,37,63,3,Cleanliness
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',13,66,58,2,Cleanliness
'air conditioner stops cooling after noon on floor 1 students cannot continue class beside the canteen queue','Labs & Research','CL22',17,52,93,3,Electrical
'laboratory equipment reports a calibration error in cl15','Labs & Research','CL15',8,27,41,5,Lab_Equipment
'two ceiling fans are not working in ff6','Hostels','H5 Boys Hostel',14,55,63,1,Electrical
'garbage is overflowing in the corridor on floor 3','General & Utilities','Aryabhatt Bhawan III',12,36,68,3,Cleanliness
'very weak wifi signal on ground floor of aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',10,76,35,4,Network
'water point near girls hostel is not operational','Sports & Recreation','Girls Hostel',15,62,71,2,Water
'power socket near the desk is unsafe in cr425 after a power interruption','Hostels','A2/1',11,31,50,4,Electrical
'classroom door and several chairs need repair on floor 3','Labs & Research','A2/1',16,48,77,3,Infrastructure
'water is leaking into the corridor on floor 1','General & Utilities','Water cooler',17,14,26,3,Water
'three lab systems freeze during compilation in ff6 beside the canteen queue','Labs & Research','CL3',16,45,56,2,Lab_Equipment
'network authentication fails for students around cl15','Academic & Teaching','CL15',11,94,52,1,Network
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',12,77,50,1,Canteen
'network authentication fails for students around cl15','Library & Study','CL15',10,98,32,3,Network
'network authentication fails for students around lrc while the wifi is also unstable','Labs & Research','LRC',10,98,26,2,Network
'wifi becomes extremely slow near cr425 between 10 00 and 12 00 please fix urgently','Library & Study','CL15',10,87,45,2,Network
'network authentication fails for students around aryabhatt bhawan ii','Academic & Teaching','Aryabhatt Bhawan II',12,94,63,3,Network
'food counter is overcrowded between 12 00 and 14 00','Food','Annapurna / Main Mess',12,77,51,2,Canteen
'floor near h4 boys hostel is dirty and slippery','Hostels','H4 Boys Hostel',11,63,32,4,Cleanliness
'computer fails to boot during practical class in ff6 near a water cooler','Labs & Research','CL22',15,77,47,2,Lab_Equipment
'garbage is overflowing in the corridor on ground floor','General & Utilities','H4 Boys Hostel',8,45,38,3,Cleanliness
'network authentication fails for students around cl3','Academic & Teaching','CL3',10,100,49,3,Network
'three lab systems freeze during compilation in cl3','Labs & Research','ECE Labs',8,39,50,2,Lab_Equipment
'internet disconnects repeatedly during the lecture in ff6','Labs & Research','CL3',12,45,46,2,Network
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',13,85,53,3,Canteen
'signage is missing for ff6 on ground floor while the wifi is also unstable','Sports & Recreation','Auditorium',18,46,47,5,Other
'internet disconnects repeatedly during the lecture in cr425 while the wifi is also unstable','Academic & Teaching','LRC',12,70,29,2,Network
'two ceiling fans are not working in cr425','Labs & Research','CL22',12,66,56,1,Electrical
'washroom near ts17 has not been cleaned today please fix urgently','Hostels','Aryabhatt Bhawan III',12,88,49,2,Cleanliness
'very weak wifi signal on ground floor of cl15 students cannot continue class while the wifi is also unstable','Library & Study','CL15',14,62,38,3,Network
'projector hdmi port is loose in cs1','Academic & Teaching','Aryabhatt Bhawan II',11,49,53,2,Infrastructure
'two ceiling fans are not working in ts17','Labs & Research','A2/1',8,50,41,1,Electrical
'very weak wifi signal on floor 4 of lrc','Academic & Teaching','LRC',10,73,65,5,Network
'lights flicker repeatedly inside ff6 while the wifi is also unstable','Hostels','A2/1',12,34,56,2,Electrical
'very weak wifi signal on floor 3 of aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',10,67,43,2,Network
'computer fails to boot during practical class in cl3','Labs & Research','CL15',13,50,67,2,Lab_Equipment
'network authentication fails for students around aryabhatt bhawan ii this happens repeatedly','Academic & Teaching','Aryabhatt Bhawan II',10,91,39,4,Network
'food counter is overcrowded between 12 00 and 14 00','Food','Cafeteria / Canteen',12,100,71,2,Lab_Equipment
'washroom near cr425 has not been cleaned today','General & Utilities','Aryabhatt Bhawan III',8,51,69,3,Cleanliness
'unclassified campus issue reported around auditorium','General & Utilities','Auditorium',13,71,84,3,Other
'power socket near the desk is unsafe in ff6','Labs & Research','A2/1',10,61,63,4,Electrical
'projector hdmi port is loose in cs1','Labs & Research','Aryabhatt Bhawan II',16,34,77,1,Infrastructure
'broken writing desk is blocking the aisle in cl15','Academic & Teaching','A2/1',12,38,32,2,Infrastructure
'water point near swimming pool is not operational','Hostels','Swimming Pool',10,30,47,5,Water
'classroom door and several chairs need repair on floor 3','Labs & Research','A2/1',8,54,58,2,Infrastructure
'water is leaking into the corridor on floor 2','General & Utilities','Girls Hostel',16,85,62,3,Water
'waiting time at cafeteria / canteen is more than twenty minutes students cannot continue class and the room is overcrowded','Food','Cafeteria / Canteen',13,97,59,1,Water
'low water pressure reported around water cooler','General & Utilities','Water cooler',14,54,51,1,Water
'low water pressure reported around girls hostel','Sports & Recreation','Girls Hostel',18,53,67,3,Water
'two ceiling fans are not working in cl3 and the room is overcrowded','Hostels','CL22',16,27,71,1,Electrical
'lights flicker repeatedly inside cr425','Hostels','A2/1',13,36,66,3,Electrical
'three lab systems freeze during compilation in cr425','Labs & Research','ECE Labs',13,68,42,3,Lab_Equipment
'lights flicker repeatedly inside ff6','Hostels','H5 Boys Hostel',8,57,56,3,Electrical
'very weak wifi signal on floor 1 of cl15','Academic & Teaching','CL15',9,77,61,5,Network
'washroom near cl15 has not been cleaned today','General & Utilities','H4 Boys Hostel',17,69,54,2,Cleanliness
'food counter is overcrowded between 12 00 and 14 00 while the wifi is also unstable','Food','Cafeteria / Canteen',12,63,63,2,Canteen
'projector in ts17 switches off after ten minutes','Labs & Research','A2/2',13,70,25,3,Infrastructure
'low water pressure reported around girls hostel and the room is overcrowded','Hostels','Girls Hostel',18,75,68,4,Water
'projector in ff6 switches off after ten minutes','Academic & Teaching','CL3',15,54,59,2,Infrastructure
'two ceiling fans are not working in ts17 students cannot continue class and the room is overcrowded','Labs & Research','A2/1',13,24,87,3,Electrical
'canteen queue is very long at 13 00 with one counter open while the wifi is also unstable','Food','Annapurna / Main Mess',13,80,64,1,Canteen
'network authentication fails for students around cl15 while the wifi is also unstable','Labs & Research','CL15',10,100,54,2,Network
'power socket near the desk is unsafe in cr425 students cannot continue class','Hostels','CL22',9,64,57,2,Electrical
'broken writing desk is blocking the aisle in cs1 near a water cooler','Academic & Teaching','Aryabhatt Bhawan II',11,49,43,3,Infrastructure
'classroom door and several chairs need repair on floor 3','Labs & Research','A2/2',11,100,74,3,Infrastructure
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',13,44,63,4,Canteen
'internet disconnects repeatedly during the lecture in cl15','Library & Study','CL3',9,44,44,3,Network
'air conditioner stops cooling after noon on floor 2 near a water cooler','Academic & Teaching','A2/1',13,33,48,2,Electrical
'classroom door and several chairs need repair on floor 3','Labs & Research','CL3',14,65,41,3,Infrastructure
'internet disconnects repeatedly during the lecture in cs1','Labs & Research','LRC',11,100,73,3,Network
'very weak wifi signal on floor 3 of cl3 while the wifi is also unstable','Library & Study','CL3',12,43,28,3,Network
'classroom door and several chairs need repair on floor 4','Labs & Research','A2/1',15,70,38,3,Infrastructure
'signage is missing for ts17 on floor 4 please fix urgently near a water cooler','General & Utilities','Parking',10,36,24,3,Other
'projector in cs1 switches off after ten minutes','Labs & Research','A2/2',8,57,28,4,Infrastructure
'spill outside ts17 creates a safety hazard','Academic & Teaching','H4 Boys Hostel',16,45,44,4,Cleanliness
'projector hdmi port is loose in cl15 and the room is overcrowded','Academic & Teaching','A2/2',10,58,55,1,Infrastructure
'food counter is overcrowded between 14 00 and 16 00','Food','Cafeteria / Canteen',14,44,74,1,Canteen
'floor near h4 boys hostel is dirty and slippery','General & Utilities','H4 Boys Hostel',10,46,63,4,Cleanliness
'lights flicker repeatedly inside cl3 while the wifi is also unstable','Academic & Teaching','A2/1',8,35,87,4,Electrical
'food counter is overcrowded between 12 00 and 14 00','Food','Annapurna / Main Mess',12,91,47,3,Water
'internet disconnects repeatedly during the lecture in cl15','Labs & Research','LRC',9,73,35,5,Network
'very weak wifi signal on ground floor of cl3 please fix urgently beside the canteen queue','Labs & Research','CL3',11,78,20,3,Network
'drinking water cooler near ff6 is empty','General & Utilities','Girls Hostel',15,48,62,4,Water
'classroom door and several chairs need repair on floor 1','Academic & Teaching','A2/2',17,58,48,3,Infrastructure
'projector in cr425 switches off after ten minutes after a power interruption','Labs & Research','Aryabhatt Bhawan II',16,56,51,1,Infrastructure
'broken writing desk is blocking the aisle in ts17','Labs & Research','CL3',13,51,54,1,Infrastructure
'very weak wifi signal on ground floor of lrc please fix urgently','Library & Study','LRC',11,58,74,2,Network
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',13,97,65,2,Canteen
'signage is missing for ff6 on floor 4','General & Utilities','Administration Block',9,100,46,1,Other
'classroom door and several chairs need repair on floor 1','Academic & Teaching','CL3',16,47,63,4,Infrastructure
'very weak wifi signal on floor 4 of aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',12,81,35,3,Network
'laboratory equipment reports a calibration error in cl3 students cannot continue class','Labs & Research','CL3',14,36,49,1,Lab_Equipment
'food counter is overcrowded between 13 00 and 15 00','Food','Annapurna / Main Mess',13,77,36,1,Canteen
'very weak wifi signal on ground floor of cl15','Labs & Research','CL15',10,100,45,3,Network
'garbage is overflowing in the corridor on floor 4','General & Utilities','Washrooms',18,76,54,2,Canteen
'internet disconnects repeatedly during the lecture in ff6 after a power interruption','Academic & Teaching','CL15',11,50,88,1,Network
'network authentication fails for students around aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',14,90,32,1,Network
'projector hdmi port is loose in ts17','Academic & Teaching','A2/2',17,55,44,2,Infrastructure
'water is leaking into the corridor on floor 4','Hostels','Girls Hostel',17,34,68,1,Water
'broken writing desk is blocking the aisle in cs1 please fix urgently','Academic & Teaching','A2/2',8,84,38,1,Infrastructure
'waiting time at annapurna / main mess is more than twenty minutes while the wifi is also unstable','Food','Annapurna / Main Mess',14,75,55,2,Canteen
'internet disconnects repeatedly during the lecture in g2 beside the canteen queue','Library & Study','LRC',9,63,54,3,Network
'broken writing desk is blocking the aisle in ff6','Academic & Teaching','A2/1',18,48,38,4,Infrastructure
'two ceiling fans are not working in cl3','Academic & Teaching','CL22',16,44,51,1,Electrical
'three lab systems freeze during compilation in cl3 near a water cooler','Labs & Research','CL15',16,55,83,3,Lab_Equipment
'wifi becomes extremely slow near cs1 between 10 00 and 12 00','Labs & Research','CL15',10,67,61,3,Network
'unclassified campus issue reported around parking after a power interruption','Administration','Parking',10,38,52,2,Other
'spill outside ts17 creates a safety hazard','Hostels','H4 Boys Hostel',13,40,54,3,Cleanliness
'wifi becomes extremely slow near cr425 between 14 00 and 16 00 near a water cooler','Labs & Research','CL15',14,81,46,5,Network
'projector in cs1 switches off after ten minutes','Academic & Teaching','Aryabhatt Bhawan II',9,52,65,1,Infrastructure
'water is leaking into the corridor on floor 2 beside the canteen queue','Sports & Recreation','Girls Hostel',10,60,75,3,Water
'air conditioner stops cooling after noon on ground floor','Hostels','CL22',9,54,53,3,Electrical
'garbage is overflowing in the corridor on floor 2','General & Utilities','Washrooms',8,35,37,3,Cleanliness
'spill outside ff6 creates a safety hazard','Academic & Teaching','Aryabhatt Bhawan III',10,65,90,1,Cleanliness
'broken writing desk is blocking the aisle in g2','Labs & Research','A2/2',10,61,48,3,Infrastructure
'projector in ff6 switches off after ten minutes','Labs & Research','CL3',16,49,50,2,Infrastructure
'wifi becomes extremely slow near ts17 between 11 00 and 13 00','Academic & Teaching','CL1',11,81,45,1,Lab_Equipment
'parking congestion blocks the entrance near administration block','General & Utilities','Administration Block',8,63,50,4,Other
'internet disconnects repeatedly during the lecture in cs1','Library & Study','CL15',12,71,48,4,Network
'parking congestion blocks the entrance near administration block','General & Utilities','Administration Block',18,65,30,2,Other
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',13,65,55,2,Canteen
'projector in cl22 switches off after ten minutes near a water cooler','Labs & Research','CL3',9,64,46,4,Infrastructure
'power socket near the desk is unsafe in cl22','Hostels','CL22',9,61,59,2,Electrical
'network authentication fails for students around cl3 near a water cooler','Academic & Teaching','CL3',11,57,66,4,Network
'billing queue reaches the stairwell near cafeteria / canteen this happens repeatedly','Food','Cafeteria / Canteen',13,68,50,4,Canteen
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',12,83,57,2,Canteen
'floor near h4 boys hostel is dirty and slippery','General & Utilities','H4 Boys Hostel',11,76,78,2,Cleanliness
'projector hdmi port is loose in cr425 after a power interruption','Labs & Research','A2/1',18,63,45,5,Infrastructure
'projector hdmi port is loose in ff6','Academic & Teaching','CL3',12,47,73,3,Infrastructure
'wifi becomes extremely slow near cl22 between 10 00 and 12 00','Academic & Teaching','CL15',10,100,32,4,Network
'power socket near the desk is unsafe in ff6 after a power interruption','Academic & Teaching','CL22',8,76,43,1,Electrical
'internet disconnects repeatedly during the lecture in g2','Academic & Teaching','CL3',12,80,46,2,Network
'network authentication fails for students around lrc','Labs & Research','LRC',12,59,40,1,Network
'monitor and keyboard are not detected at workstation in ts17','Labs & Research','CL3',11,71,44,3,Lab_Equipment
'wifi becomes extremely slow near cl15 between 9 00 and 11 00','Academic & Teaching','CL3',9,75,63,1,Network
'internet disconnects repeatedly during the lecture in cl15','Academic & Teaching','Aryabhatt Bhawan II',14,100,36,3,Network
'projector hdmi port is loose in g2 please fix urgently','Labs & Research','CL3',12,63,30,2,Infrastructure
'very weak wifi signal on floor 3 of lrc please fix urgently after a power interruption','Library & Study','LRC',12,35,36,2,Network
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',12,84,41,5,Canteen
'air conditioner stops cooling after noon on floor 2','Academic & Teaching','A2/1',18,69,85,2,Electrical
'air conditioner stops cooling after noon on ground floor','Labs & Research','H5 Boys Hostel',18,15,80,2,Electrical
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',12,94,58,2,Canteen
'projector in cl22 switches off after ten minutes this happens repeatedly','Labs & Research','A2/2',15,19,48,1,Canteen
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',12,88,50,4,Canteen
'projector in ff6 switches off after ten minutes','Academic & Teaching','CL3',17,70,34,2,Infrastructure
'water is leaking into the corridor on floor 2','Sports & Recreation','Girls Hostel',11,31,78,5,Water
'signage is missing for cr425 on floor 2','Administration','Main Gate',16,32,33,4,Other
'broken writing desk is blocking the aisle in ts17 students cannot continue class beside the canteen queue','Academic & Teaching','A2/1',17,45,47,2,Infrastructure
'monitor and keyboard are not detected at workstation in cl22','Labs & Research','CL1',13,80,55,2,Lab_Equipment
'lights flicker repeatedly inside cl15','Labs & Research','H5 Boys Hostel',8,66,85,1,Canteen
'food counter is overcrowded between 14 00 and 16 00 while the wifi is also unstable','Food','Annapurna / Main Mess',14,39,49,1,Canteen
'internet disconnects repeatedly during the lecture in ff6','Library & Study','CL3',9,100,42,2,Network
'air conditioner stops cooling after noon on floor 2 students cannot continue class','Labs & Research','H5 Boys Hostel',10,40,66,1,Electrical
'lights flicker repeatedly inside cr425 and the room is overcrowded','Hostels','CL22',18,55,73,2,Electrical
'canteen queue is very long at 12 00 with one counter open please fix urgently','Food','Cafeteria / Canteen',12,67,78,2,Canteen
'monitor and keyboard are not detected at workstation in cr425 please fix urgently','Labs & Research','CL22',12,67,67,1,Water
'monitor and keyboard are not detected at workstation in ts17 and the room is overcrowded','Labs & Research','ECE Labs',10,44,41,2,Lab_Equipment
'broken writing desk is blocking the aisle in ff6','Academic & Teaching','Aryabhatt Bhawan II',17,67,57,2,Infrastructure
'waiting time at annapurna / main mess is more than twenty minutes while the wifi is also unstable','Food','Annapurna / Main Mess',14,77,96,1,Canteen
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',13,50,54,5,Canteen
'spill outside g2 creates a safety hazard near a water cooler','Academic & Teaching','Washrooms',10,78,60,1,Cleanliness
'low water pressure reported around water cooler','Sports & Recreation','Water cooler',12,54,86,1,Water
'projector hdmi port is loose in g2 near a water cooler','Academic & Teaching','A2/2',10,45,51,3,Infrastructure
'canteen queue is very long at 13 00 with one counter open','Food','Cafeteria / Canteen',13,53,55,4,Canteen
'garbage is overflowing in the corridor on floor 3','General & Utilities','H4 Boys Hostel',10,50,32,2,Cleanliness
'floor near washrooms is dirty and slippery','Academic & Teaching','Washrooms',12,34,73,1,Cleanliness
'garbage is overflowing in the corridor on ground floor this happens repeatedly','Hostels','H4 Boys Hostel',12,36,58,1,Cleanliness
'washroom near cl22 has not been cleaned today this happens repeatedly after a power interruption','General & Utilities','Aryabhatt Bhawan III',14,39,59,2,Cleanliness
'lights flicker repeatedly inside cl22','Hostels','H5 Boys Hostel',9,60,46,1,Electrical
'network authentication fails for students around cl15 while the wifi is also unstable','Library & Study','CL15',14,61,66,2,Network
'three lab systems freeze during compilation in cl3','Labs & Research','CL1',9,57,47,2,Lab_Equipment
'very weak wifi signal on floor 4 of lrc','Academic & Teaching','LRC',11,69,58,2,Network
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',14,63,21,3,Canteen
'washroom near cr425 has not been cleaned today','General & Utilities','H4 Boys Hostel',12,52,76,4,Cleanliness
'internet disconnects repeatedly during the lecture in cl3','Labs & Research','Aryabhatt Bhawan II',12,71,70,2,Network
'canteen queue is very long at 13 00 with one counter open and the room is overcrowded','Food','Cafeteria / Canteen',13,72,61,4,Canteen
'spill outside ff6 creates a safety hazard','Hostels','Aryabhatt Bhawan III',8,38,45,2,Cleanliness
'classroom door and several chairs need repair on floor 1 beside the canteen queue','Labs & Research','A2/2',18,57,81,1,Infrastructure
'air conditioner stops cooling after noon on floor 2','Hostels','CL22',10,15,54,4,Electrical
'very weak wifi signal on ground floor of cl15','Labs & Research','CL15',11,89,52,3,Network
'low water pressure reported around girls hostel after a power interruption','Hostels','Girls Hostel',18,60,82,1,Water
'classroom door and several chairs need repair on floor 3','Academic & Teaching','A2/2',12,51,56,2,Infrastructure
'internet disconnects repeatedly during the lecture in ff6','Labs & Research','CL3',12,72,36,3,Electrical
'laboratory equipment reports a calibration error in cl22','Labs & Research','CL22',8,58,62,4,Lab_Equipment
